Station,Brand,Street,City,State,Regular_Price,Regular_Timestamp,Diesel_Price,Day_Type,Classification,Zip_Code
S AND B AUTO SERVICE Shell,Shell,1135 VINE ST,Philadelphia,PA,4.999,01APR2026,5.199,Weekday,Urban,19175
Sunoco Sunoco,Sunoco,601 W GIRARD AVE,Philadelphia,PA,4.799,01APR2026,6.999,Weekday,Urban,19175
ARAMINGO EXXON Exxon,Exxon,2330 ARAMINGO AVE,Philadelphia,PA,4.099,01APR2026,,Weekday,Urban,19175
D AND J BP BP,BP,401 W OREGON AVE,Philadelphia,PA,4.299,01APR2026,6.199,Weekday,Urban,19175
LUKOIL Lukoil,Lukoil,2101 S 11TH ST,Philadelphia,PA,4.159,01APR2026,,Weekday,Urban,19175
LUKOIL Lukoil,Lukoil,2101 S 11TH ST,Philadelphia,PA,4.159,01APR2026,,Weekday,Urban,19175
RIDGE GAS Phillips 66,Phillips 67,2300 RIDGE AVE,Philadelphia,PA,4.299,01APR2026,,Weekday,Urban,19175
RIDGE GAS Phillips 66,Phillips 68,2300 RIDGE AVE,Philadelphia,PA,4.299,01APR2026,,Weekday,Urban,19175
RIDGE GAS Phillips 66,Phillips 69,2300 RIDGE AVE,Philadelphia,PA,4.299,01APR2026,,Weekday,Urban,19175
RIDGE GAS Phillips 66,Phillips 70,2300 RIDGE AVE,Philadelphia,PA,4.299,01APR2026,,Weekday,Urban,19175
7-ELEVEN #40069 7-Eleven,7-Eleven,200 WALNUT BOTTOM RD,Shippensburg,PA,4.199,01APR2026,5.899,Weekday,Urban,17257
GIANT #6061 Giant (Ahold),Giant,397 BALTIMORE RD,Shippensburg,PA,4.099,01APR2026,,Weekday,Urban,17257
J P LYTLE GULF Gulf,Gulf,500 E KING ST,Shippensburg,PA,3.899,01APR2026,5.899,Weekday,Urban,17257
RUTTERS #107 Rutters,Rutters,100 CRAMER RD,Shippensburg,PA,4.199,01APR2026,5.899,Weekday,Urban,17257
RUTTERS #31 Rutters,Rutters,1 AIRPORT RD,Shippensburg,PA,4.199,01APR2026,5.899,Weekday,Urban,17257
SHEETZ #070 Sheetz,Sheetz,359 E KING ST,Shippensburg,PA,4.199,01APR2026,5.899,Weekday,Urban,17257
SHEETZ #608 Sheetz,Sheetz,8000 OLDE SCOTLAND RD,Shippensburg,PA,3.999,01APR2026,5.899,Weekday,Urban,17257
SUNOCO Sunoco,Sunoco,92 W KING ST,Shippensburg,PA,3.999,01APR2026,,Weekday,Urban,17257
